learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
440000.0,13.829288053,-1.4036634991431815E-9,440000.0,83.2934090909091,74.93938979403471,74.92538229846399,74.90612283911845,440000.0,-797.0,185.0,93.0,93.0,10.0,0.0,0.0,1.0
450000.0,14.151073207,-1.4730074583526906E-9,450000.0,83.32088888888889,74.98094629061103,74.97257373414028,74.95043887461202,450000.0,-833.0,193.0,97.0,97.0,10.0,0.0,0.0,1.0
460000.0,14.450903151,-1.5376201203977689E-9,460000.0,83.36695652173913,75.04976662361274,75.03963671240385,75.01126766083361,460000.0,-833.0,193.0,97.0,97.0,10.0,0.0,0.0,1.0
470000.0,14.755745368,-1.603312915724754E-9,470000.0,83.38553191489362,75.07771275739552,75.06689230179762,75.04250776645658,470000.0,-833.0,193.0,97.0,97.0,10.0,0.0,0.0,1.0
480000.0,15.076014648,-1.6730758926062845E-9,480000.0,83.38708333333334,75.08011575243107,75.06472876458741,75.04607941619179,480000.0,-842.0,195.0,98.0,98.0,10.0,0.0,0.0,1.0
490000.0,15.401263663,-1.744680864629853E-9,490000.0,83.41367346938775,75.12008252021718,75.10468389598694,75.09133147809884,490000.0,-851.0,197.0,99.0,99.0,10.0,0.0,0.0,1.0
500000.0,15.734100967,-1.8202812728834235E-9,500000.0,83.42540000000001,75.13766864720313,75.12060978868146,75.10775635499675,500000.0,-878.0,203.0,102.0,102.0,10.0,0.0,0.0,1.0
510000.0,16.044017514,-1.8921186394710093E-9,510000.0,83.42941176470589,75.14388712553352,75.12626708579099,75.11608665055047,510000.0,-896.0,207.0,104.0,104.0,10.0,0.0,0.0,1.0
520000.0,16.352713471,-1.9651105559405144E-9,520000.0,83.45192307692308,75.17755631612205,75.1579871185286,75.15260717152643,520000.0,-914.0,211.0,106.0,106.0,10.0,0.0,0.0,1.0
530000.0,16.681848888,-2.044468089098421E-9,530000.0,83.47622641509433,75.21397241155437,75.1964857723059,75.18749061484455,530000.0,-932.0,215.0,108.0,108.0,10.0,0.0,0.0,1.0
540000.0,17.007789835,-2.126090968195866E-9,540000.0,83.48222222222222,75.22305078128687,75.20687345209735,75.19742842524415,540000.0,-968.0,223.0,112.0,112.0,10.0,0.0,0.0,1.0
550000.0,17.323940067,-2.2082064124802127E-9,550000.0,83.48927272727272,75.233620351724,75.22061833165058,75.20803529501696,550000.0,-1004.0,231.0,116.0,116.0,10.0,0.0,0.0,1.0
560000.0,17.649111078,-2.2972074600184958E-9,560000.0,83.48232142857142,75.22315678197965,75.21104339856247,75.19728427437194,560000.0,-1058.0,243.0,122.0,122.0,10.0,0.0,0.0,1.0
570000.0,17.952850825,-2.3810498550081523E-9,570000.0,83.49736842105263,75.2457700836444,75.22792990661591,75.2215349925189,570000.0,-1067.0,245.0,123.0,123.0,10.0,0.0,0.0,1.0
580000.0,18.267529692,-2.469377153025319E-9,580000.0,83.51120689655173,75.26641843247826,75.24756319137815,75.2402576556238,580000.0,-1085.0,249.0,125.0,125.0,11.0,0.0,0.0,1.0
590000.0,18.577050106,-2.556256523446387E-9,590000.0,83.5171186440678,75.27536470475941,75.25275530639823,75.24853525815597,590000.0,-1085.0,249.0,125.0,125.0,11.0,0.0,0.0,1.0
600000.0,18.911374757,-2.6539902531800586E-9,600000.0,83.535,75.30211272652805,75.2835919478401,75.27332252057428,600000.0,-1130.0,259.0,130.0,130.0,11.0,0.0,0.0,1.0
610000.0,19.235325358,-2.7509540869277488E-9,610000.0,83.55,75.32463001093068,75.30455541062683,75.29500976185025,610000.0,-1157.0,265.0,133.0,133.0,11.0,0.0,0.0,1.0
620000.0,19.547889358,-2.8459652100733687E-9,620000.0,83.56854838709677,75.35231785792645,75.3331089604676,75.3202014598328,620000.0,-1175.0,269.0,135.0,135.0,12.0,0.0,0.0,1.0
