Provincia,latitud,longitud
Málaga,36.656816,-4.835200
Málaga,37.113789,-4.699184
Málaga,36.631217,-5.120886
Málaga,36.581751,-4.948712
Málaga,36.775860,-4.184332
Málaga,36.651233,-5.274570
Málaga,36.564981,-5.215873
Málaga,36.624703,-5.170296
Málaga,36.762435,-4.213790
Málaga,36.717443,-4.441832
Málaga,36.376929,-5.252514
Málaga,36.515015,-4.905435
Málaga,36.595452,-4.638164
Málaga,36.771388,-4.255007
Málaga,37.123255,-4.659107
Málaga,36.629763,-4.831708
Málaga,36.815296,-5.297906
Málaga,36.735967,-5.250392
Málaga,36.754439,-3.872662
Málaga,36.564843,-4.855764
Málaga,36.656318,-5.129477
Málaga,36.928504,-4.190446
Málaga,36.765264,-4.708305
Málaga,36.612500,-5.150108
Málaga,36.718882,-4.281269
Málaga,36.917274,-4.292160
Málaga,36.747498,-5.158998
Málaga,36.854346,-4.024738
Málaga,36.798120,-4.013172
Málaga,36.862122,-4.034275
Málaga,36.885337,-4.981825
Málaga,37.125477,-4.866847
Málaga,36.983308,-4.919152
Málaga,36.686186,-4.904253
Málaga,36.623633,-4.503762
Málaga,36.755671,-3.953876
Málaga,36.765203,-4.297325
Málaga,36.932018,-4.682397
Málaga,36.776074,-4.101341
Málaga,37.183350,-4.449702
Málaga,36.930910,-4.530953
Málaga,37.182617,-4.335217
Málaga,36.999848,-4.367048
Málaga,37.027080,-4.337590
Málaga,36.863900,-4.142434
Málaga,36.734467,-4.920845
Sevilla,37.253584,-4.990583
Sevilla,38.038131,-5.712904
Sevilla,37.424127,-6.164826
Sevilla,37.335088,-5.844257
Sevilla,37.517128,-5.983124
Sevilla,37.615951,-5.667004
Sevilla,37.462885,-6.011348
Sevilla,37.016275,-5.147952
Sevilla,37.873200,-6.082265
Sevilla,37.311208,-6.109077
Sevilla,37.260740,-5.546353
Sevilla,37.305629,-6.246371
Sevilla,37.519368,-6.268946
Sevilla,37.305936,-4.673131
Sevilla,37.353973,-6.196656
Sevilla,37.339149,-6.139214
Sevilla,37.369678,-6.072751
Sevilla,37.548144,-5.872933
Sevilla,37.586236,-5.969525
Sevilla,36.983531,-5.938378
Sevilla,37.396313,-6.034646
Sevilla,37.570339,-5.429001
Sevilla,37.596534,-5.206808
Sevilla,37.611482,-5.823584
Sevilla,37.471506,-5.647919
Sevilla,37.369893,-6.330005
Sevilla,37.293128,-4.759603
Sevilla,37.675403,-5.988356
Sevilla,37.409339,-6.056463
Sevilla,37.385840,-6.056397
Sevilla,37.386729,-6.336523
Sevilla,37.692930,-6.315526
Sevilla,37.933926,-5.759041
Sevilla,37.871922,-5.620021
Sevilla,37.288179,-6.055230
Sevilla,36.972960,-5.440216
Sevilla,37.079256,-5.633861
Sevilla,37.099878,-4.984184
Sevilla,36.854020,-6.037785
Sevilla,37.279425,-5.928536
Sevilla,37.541448,-5.082330
Sevilla,37.381608,-6.125565
Sevilla,37.292362,-4.878871
Sevilla,37.465825,-5.346302
Sevilla,37.625881,-6.173283
Sevilla,37.333708,-6.028544
Sevilla,37.532018,-6.155297
Sevilla,37.250854,-4.917727
Sevilla,37.386437,-6.077459
Sevilla,38.091686,-5.816807
Sevilla,37.544321,-6.056060
Sevilla,37.362554,-4.846650
Sevilla,37.354706,-6.280833
Sevilla,37.131633,-6.165319
Sevilla,37.353209,-5.224379
Sevilla,36.920891,-6.076348
Sevilla,37.268904,-4.827613
Sevilla,37.657575,-5.526992
Sevilla,37.527855,-5.248411
Sevilla,37.645168,-6.510885
Sevilla,37.373272,-5.748437
Sevilla,37.346155,-6.052636
Sevilla,37.327377,-5.416283
Sevilla,37.372707,-4.955759
Sevilla,37.109093,-4.961825
Sevilla,37.156406,-5.720124
Sevilla,36.993201,-5.572005
Sevilla,37.124768,-5.454170
Sevilla,37.932459,-5.465406
Sevilla,37.418060,-6.156331
Sevilla,37.237814,-5.106342
Sevilla,37.163346,-5.927424
Sevilla,37.318096,-6.067234
Sevilla,37.288421,-5.495371
Sevilla,37.226418,-4.895615
Sevilla,37.840828,-5.765046
Sevilla,37.709569,-5.345624
Sevilla,37.303424,-6.303411
Sevilla,36.972912,-5.221949
Sevilla,37.222386,-5.313756
Sevilla,37.781618,-5.388610
Sevilla,37.266277,-6.067204
Sevilla,37.948807,-6.154743
Sevilla,37.485970,-5.981041
Sevilla,37.201111,-4.779028
Sevilla,37.726386,-6.176508
Sevilla,37.354147,-4.990473
Sevilla,37.419332,-6.111763
Sevilla,37.361616,-6.031742
Sevilla,37.993757,-5.650001
Sevilla,37.385542,-6.199911
Sevilla,37.439733,-6.043495
Sevilla,37.070729,-5.095495
Sevilla,37.385982,-5.967721
Sevilla,37.608590,-5.734628
Sevilla,37.372122,-6.046484
Sevilla,37.369121,-6.159612
Sevilla,37.186870,-5.781102
Sevilla,37.415003,-6.075425
Sevilla,37.245121,-6.306414
Sevilla,37.050947,-5.175184
Sevilla,37.396825,-6.143068
Sevilla,37.655276,-5.714665
Sevilla,37.592418,-5.874383
Sevilla,37.392600,-5.718386
